"","X","name","url","state","town","vertical","base","snow","trails","acres","longestRun","snowMaking","lifts","lat","lon","ticket"
"1",1,"Alyeska Resort","http://www.skicentral.com/alyeska.html","Alaska","Girdwood, Alaska Mountain",2500,250,512,76,1610,"2 miles / 3.2 km","yes",9,60.9704446,-149.0987185,80
"2",2,"Eaglecrest Ski Area","http://www.skicentral.com/eaglecrestskiarea.html","Alaska","Juneau, Alaska Mountain",1540,1060,350,36,640,"2 miles / 3.2 km","yes",4,58.2675,-134.5139999,52
"3",3,"Arctic Valley Ski Area","http://www.skicentral.com/arcticvalleyskiarea.html","Alaska","Anchorage, Alaska Mountain",1400,2500,250,25,320,"4545 feet / 1385 meters","no",3,61.2467223,-149.53491,35
"4",4,"Hill Top","http://www.skicentral.com/hilltopskiarea.html","Alaska","Anchorage, Alaska Mountain",294,NA,NA,13,30,"2090 feet / 637 meters","character(0)",3,61.140846,-149.7449609,32
"5",5,"Moose Mountain","http://www.skicentral.com/moosemountain.html","Alaska","character(0)",1300,685,70,42,200,"n/a","character(0)",0,64.940556,-147.990556,39
"6",6,"Mount Eyak Ski Area","http://www.skicentral.com/mounteyakskiarea.html","Alaska","Cordova, Alaska Mountain",800,400,350,30,NA,"750 feet / 229 meters","character(0)",1,60.5500012,-145.7499932,NA
"7",7,"Mt. Aurora SkiLand","http://www.skicentral.com/mtauroraskiland.html","Alaska","Fairbanks, Alaska ",1027,1408,NA,40,100,"n/a","character(0)",1,65.0456703,-147.4103557,35
"8",8,"Arizona Snowbowl","http://www.skicentral.com/arizonasnowbowl.html","Arizona","Flagstaff, Arizona Mountain",2300,9200,260,32,777,"2 miles / 3.2 km","no",5,35.330886,-111.7103,79
"9",9,"Sunrise Park Resort","http://www.skicentral.com/sunrisepark.html","Arizona","Greer, Arizona Mountain",1800,9200,250,65,800,"n/a","character(0)",8,33.9736553,-109.5640136,68
"10",10,"Elk Ridge","http://www.skicentral.com/elkridge.html","Arizona","Williams, Arizona Mountain",600,7500,150,11,37,"3960 feet / 1207 meters","character(0)",2,35.2146646,-112.1922123,40
"11",11,"Mt. Lemmon Ski Valley","http://www.skicentral.com/mtlemmonskivalley.html","Arizona","character(0)",950,8200,180,22,200,"n/a","no",3,32.4474562,-110.7816719,45
"12",12,"Heavenly","http://www.skicentral.com/heavenly.html","California","South Lake Tahoe, California Heavenly Lodging & Ski Vacation Package Early Booking SpecialsBook early & save on premier Heavenly lodging and complete ski packages. Rocky ",3500,6255,360,97,4800,"n/a","yes",28,38.956856,-119.942659,114
"13",13,"Mammoth / June","http://www.skicentral.com/mammoth.html","California","Mammoth Lakes, California ",3100,7953,400,150,3500,"3 miles / 4.8 km","yes",28,37.7797825,-119.0754232,108
"14",14,"Kirkwood Ski Resort","http://www.skicentral.com/kirkwood.html","California","Kirkwood, California Mountain",2000,7800,600,86,2300,"2.5 miles / 4 km","yes",15,38.6847514,-120.0651665,87
"15",15,"Squaw Valley","http://www.skicentral.com/squawvalley.html","California","Squaw Valley, Placer County, California 25-40% Off Squaw Valley Lodging & Ski PackagesPremier Squaw Valley lodging up to 35% off & early booking lift ticket specials. Book early & save with Rocky ",2850,6200,450,170,3600,"3.2 miles / 5.1 km","yes",29,39.1969804,-120.2357055,NA
"16",16,"Alpine Meadows","http://www.skicentral.com/alpinemeadows.html","California","Squaw Valley, Placer County, California 25-40% Off Squaw Valley & Alpine Meadows Lodging & Ski PackagesPremier Squaw Valley & Alpine Meadows lodging up to 35% off & early booking lift ticket specials. ",1802,6835,450,100,2400,"2.5 miles / 4 km","yes",13,39.1785177,-120.2276948,NA
"17",17,"Northstar-at-Tahoe","http://www.skicentral.com/northstar.html","California","Truckee, California 25-35% Off Northstar Lodging & Ski PackagesPremier Northstar lodging up to 35% off & early booking lift ticket specials. ",2280,6330,350,97,3170,"1.4 miles / 2.3 km","yes",20,39.2745678,-120.1210934,120
"18",18,"Sugar Bowl","http://www.skicentral.com/sugarbowl.html","California","Norden, California ",1500,6883,500,102,1650,"3 miles / 4.8 km","yes",13,39.3004435,-120.3334022,115
"19",19,"Bear Valley","http://www.skicentral.com/bearvalley.html","California","Bear Valley, California Mountain",1900,6600,359,75,1680,"n/a","yes",10,38.4646337,-120.0399088,NA
"20",20,"Sierra at Tahoe","http://www.skicentral.com/sierraattahoe.html","California","Twin Bridges, California ",2212,6640,480,46,2000,"2.5 miles / 4 km","yes",14,38.800887,-120.08093,104
"21",21,"Dodge Ridge","http://www.skicentral.com/dodgeridge.html","California","Pinecrest, California Mountain",1600,6600,400,67,862,"2 miles / 3.2 km","character(0)",12,38.190033,-119.9572372,74
"22",22,"Bear Mountain","http://www.skicentral.com/bearmountain.html","California","Big Bear Lake, California ",1665,7140,100,38,198,"1.5 miles / 2.4 km","yes",12,34.2276705,-116.8608046,94
"23",23,"Homewood Mountain Resort","http://www.skicentral.com/homewood.html","California","Homewood, California ",1650,6230,450,64,1260,"n/a","yes",8,39.0855833,-120.1605391,NA
